nom,categorie,adresse,ville,code_postal,contact_nom,contact_tel,contact_email,statut,notes
CAP Sud,Association,28 rue de la Jeunesse,Poitiers,86000,,05 49 62 97 47,,À contacter,Centre d'animation et de loisirs quartier sud
CCAS Buxerolles,CCAS,Place de la Mairie,Buxerolles,86180,,05 49 45 68 05,,À contacter,Centre Communal d'Action Sociale
CCAS Poitiers,CCAS,3 place Alphonse Lepetit,Poitiers,86000,,05 49 52 40 25,,À contacter,Centre Communal d'Action Sociale de Poitiers
CCAS Rouillé,CCAS,Place de la Mairie,Rouillé,86480,,05 49 43 70 09,,À contacter,Centre Communal d'Action Sociale
CH Laborit,Santé,370 avenue Jacques Cœur,Poitiers,86021,,05 49 44 44 44,,À contacter,Centre hospitalier Henri Laborit - psychiatrie
CROUS de Poitiers,CROUS,15 rue Guillaume le Troubadour,Poitiers,86022,,05 49 60 78 78,,À contacter,Centre Régional des Œuvres Universitaires et Scolaires
CSC La Blaiserie,Centre social,Rue des Frères Montgolfier,Poitiers,86000,,05 49 58 96 95,accueil@lablaiserie.org,À contacter,Centre socioculturel de La Blaiserie
CSC Trois Cités,Centre social,1 Place de France,Poitiers,86000,,05 49 01 29 97,,À contacter,Centre socioculturel des Trois Cités
Crèche La Dorne,Crèche,1 rue des Alisiers,Lusignan,86600,,05 49 43 31 32,,À contacter,Crèche parentale associative
EKIDOM,Association,65 avenue John Kennedy,Poitiers,86000,,05 49 44 60 00,,À contacter,Office Public de l'Habitat du Grand Poitiers
Eaux de Vienne,Service public,3 rue Henri Becquerel,Poitiers,86000,,05 49 30 30 30,,À contacter,Syndicat des eaux de Vienne
Espace Mendès France,Culture/Science,Esplanade du Maréchal de Lattre de Tassigny,Poitiers,86000,,05 49 50 33 08,,À contacter,Centre de culture scientifique et technique
Grand Poitiers CU,Collectivité,84 rue des Carmélites,Poitiers,86000,,05 49 52 41 00,,À contacter,Communauté Urbaine Grand Poitiers
Maison de la Gibeauderie,Maison de quartier,66 rue de la Gibauderie,Poitiers,86000,,05 49 58 10 40,,À contacter,Maison de quartier Gibauderie
Maison pour tous,Maison de quartier,2 rue de la Manufacture,Poitiers,86000,,05 49 88 15 15,,À contacter,Maison de quartier
Réseau Canopé,Éducation,6 rue Sainte Catherine,Poitiers,86000,,05 49 60 67 70,,À contacter,Réseau de création et accompagnement pédagogiques
SEP,Service public,3 rue du Chanoine Duret,Poitiers,86000,,05 49 60 16 05,,À contacter,Société d'Equipement du Poitou
SIVOS Pays Mélusin,Intercommunalité,7 rue Enjambes,Lusignan,86600,,05 86 17 00 40,,À contacter,Syndicat intercommunal petite enfance Pays Mélusin
SMASP,Santé,4 boulevard des Frères Lumières,Chasseneuil-du-Poitou,86360,,,contact@smasp.fr,À contacter,Syndicat Mixte Aménagement Seuil du Poitou
Université de Poitiers,Université,15 rue de l'Hôtel Dieu,Poitiers,86073,,05 49 45 30 00,,À contacter,Université de Poitiers
