nom,categorie,adresse,ville,code_postal,contact_nom,contact_tel,contact_email,statut,notes
Grand Poitiers CU,Collectivité,1 place du Maréchal Leclerc,Poitiers,86000,,,,À contacter,
Université de Poitiers,Université,15 rue de l'Hôtel Dieu,Poitiers,86000,,,,À contacter,
CROUS de Poitiers,CROUS,3 bis rue Théophraste Renaudot,Poitiers,86000,,,,À contacter,
Eaux de Vienne,Service public,12 rue Louis Renard,Poitiers,86000,,,,À contacter,
CH Laborit,Santé,370 avenue Jacques Coeur,Poitiers,86000,,,,À contacter,
SMASP,Santé,BP 350 - Saint-Benoît,Poitiers,86280,,,,À contacter,
SIVOS Pays Mélusin,Intercommunalité,1 rue de l'Église,Ménigoute,79340,,,,À contacter,
CCAS Poitiers,CCAS,1 place du Maréchal Leclerc,Poitiers,86000,,,,À contacter,
CCAS Buxerolles,CCAS,Place de la Mairie,Buxerolles,86180,,,,À contacter,
CCAS Rouillé,CCAS,Place du 8 Mai 1945,Rouillé,86480,,,,À contacter,
Crèche La Dorne,Crèche,12 rue de la Dorne,Poitiers,86000,,,,À contacter,
CAP Sud,Association,25 avenue du 8 Mai 1945,Poitiers,86000,,,,À contacter,
CSC La Blaiserie,Centre social,2 rue des Frères Lumière,Poitiers,86000,,,,À contacter,
CSC Trois Cités,Centre social,5 avenue de la Libération,Poitiers,86000,,,,À contacter,
EKIDOM,Association,8 rue de la Tranchée,Poitiers,86000,,,,À contacter,
Espace Mendès France,Culture/Science,1 place de la Cathédrale,Poitiers,86000,,,,À contacter,
Maison de la Gibeauderie,Maison de quartier,15 rue de la Gibeauderie,Poitiers,86000,,,,À contacter,
Maison pour tous,Maison de quartier,30 rue de la République,Poitiers,86000,,,,À contacter,
Réseau Canopé,Éducation,4 avenue du Recteur Pineau,Poitiers,86000,,,,À contacter,
SEP,Service public,25 rue Carnot,Poitiers,86000,,,,À contacter,
